alert_id,pool_id,zone_id,timestamp,confidence,status,response_time_s
ALT001,P01,Z3,2026-05-15 10:12:34,0.92,Rescued,18
ALT002,P01,Z2,2026-05-15 11:05:21,0.87,False_Alarm,0
ALT003,P02,Z2,2026-05-15 14:33:10,0.95,Rescued,14
ALT004,P01,Z3,2026-05-15 15:47:02,0.78,False_Alarm,0
ALT005,P03,Z1,2026-05-15 16:20:55,0.91,Rescued,22
ALT006,P01,Z1,2026-05-16 09:08:13,0.83,Rescued,20
ALT007,P02,Z1,2026-05-16 10:44:38,0.69,False_Alarm,0
ALT008,P01,Z3,2026-05-16 11:30:07,0.96,Rescued,12
ALT009,P02,Z2,2026-05-16 13:15:50,0.74,False_Alarm,0
ALT010,P01,Z2,2026-05-16 14:52:29,0.88,Rescued,16
